country,xg,ga
ger,6.64,2
nor,3.91,4
can,5.39,2
ned,2.88,3
jap,1.70,2
fra,3.91,1
swe,3.39,7
usa,3.45,1
por,2.60,1
arg,4.03,0
sui,4.99,2
egy,2.84,2
col,2.73,2
eng,5.11,2
esp,5.46,0
bra,2.41,1
aut,2.56,3
sen,2.44,6
mex,2.12,0
uru,3.73,4
cro,1.64,4
par,0.96,4
sk,2.64,2
ira,2.33,3
aus,1.30,2
mar,2.13,1
jor,0.92,5
bih,1.07,5
cpv,0.67,2
alg,2.46,4
ivo,3.15,2
cze,1.99,4
cur,1.03,5
drc,0.96,2
uzb,1.54,4
sco,1.65,2
tun,0.37,3
sa,1.44,4
irq,1.90,4
bel,2.55,1
gha,1.32,1
qat,0.72,8
ksa,1.17,5
tur,3.79,3
pan,1.47,6
ecu,4.12,2
hai,0.97,7
nzl,1.15,6